snapshot_date,product_id,product_name,category,supplier,opening_stock,receipts,units_sold,shrinkage,closing_stock,reorder_point,days_of_cover,stock_status
2025-01-31,SKU-1030,Storage Box,Home & Kitchen,Urban Source Ltd.,33,17,6,1,43,32,215.0,Healthy
2025-01-31,SKU-1031,Notebook,Office,Brightline Wholesale,75,24,8,1,90,23,337.5,Healthy
2025-01-31,SKU-1032,Notebook,Office,Brightline Wholesale,44,2,2,0,44,27,440.0,Healthy
2025-01-31,SKU-1033,Gel Pen Set,Office,Aster Distribution,51,30,11,0,70,19,190.9,Healthy
2025-01-31,SKU-1034,Gel Pen Set,Office,Aster Distribution,76,23,5,0,2,23,12.0,Low Stock
2025-01-31,SKU-1035,Monitor Stand,Office,Brightline Wholesale,54,26,20,1,59,18,88.5,Healthy
2025-01-31,SKU-1036,Monitor Stand,Office,Nova Supply Co.,115,23,12,1,125,28,312.5,Overstock
2025-01-31,SKU-1037,Desk Organizer,Office,Nova Supply Co.,27,34,9,1,51,14,170.0,Healthy
2025-01-31,SKU-1038,Desk Organizer,Office,Urban Source Ltd.,93,8,4,2,8,30,60.0,Low Stock
2025-01-31,SKU-1039,Office Chair,Office,Nova Supply Co.,57,12,0,0,69,12,690.0,Overstock
2025-01-31,SKU-1040,Office Chair,Office,Brightline Wholesale,75,6,5,0,76,19,456.0,Healthy
2025-01-31,SKU-1041,Face Cleanser,Beauty,Brightline Wholesale,62,7,5,0,64,26,384.0,Healthy
2025-01-31,SKU-1042,Face Cleanser,Beauty,Peak Imports,73,0,5,1,67,16,402.0,Overstock
2025-01-31,SKU-1043,Sunscreen,Beauty,Brightline Wholesale,51,19,5,0,65,27,390.0,Healthy
2025-01-31,SKU-1044,Sunscreen,Beauty,Nova Supply Co.,51,11,7,0,55,18,235.7,Healthy
2025-01-31,SKU-1045,Moisturizer,Beauty,Urban Source Ltd.,48,17,1,0,64,26,640.0,Healthy
2025-01-31,SKU-1046,Moisturizer,Beauty,Peak Imports,101,1,2,1,99,21,990.0,Overstock
2025-01-31,SKU-1047,Hair Dryer,Beauty,Nova Supply Co.,29,12,1,1,39,18,390.0,Healthy
2025-01-31,SKU-1048,Hair Dryer,Beauty,Urban Source Ltd.,29,0,0,0,29,15,290.0,Healthy
2025-01-31,SKU-1049,Makeup Brush Set,Beauty,Nova Supply Co.,157,10,1,2,164,33,1640.0,Overstock
2025-01-31,SKU-1050,Makeup Brush Set,Beauty,Peak Imports,35,4,2,1,1,18,10.0,Low Stock
2025-01-31,SKU-1051,Yoga Mat,Sports,Brightline Wholesale,118,14,1,0,117,24,1170.0,Overstock
2025-01-31,SKU-1052,Yoga Mat,Sports,Peak Imports,81,2,2,0,176,27,1760.0,Overstock
2025-01-31,SKU-1053,Yoga Mat,Sports,Brightline Wholesale,30,48,19,1,58,28,91.6,Healthy
2025-01-31,SKU-1054,Resistance Bands,Sports,Peak Imports,101,19,2,0,118,26,1180.0,Overstock
2025-01-31,SKU-1055,Resistance Bands,Sports,Aster Distribution,21,7,0,1,27,15,270.0,Healthy
2025-01-31,SKU-1056,Resistance Bands,Sports,Nova Supply Co.,107,45,14,1,137,22,293.6,Overstock
2025-01-31,SKU-1057,Water Bottle,Sports,Nova Supply Co.,122,25,18,1,128,26,213.3,Overstock
2025-01-31,SKU-1058,Water Bottle,Sports,Aster Distribution,84,3,0,0,87,34,870.0,Healthy
2025-01-31,SKU-1059,Water Bottle,Sports,Brightline Wholesale,36,4,8,0,32,18,120.0,Healthy
2025-01-31,SKU-1060,Running Belt,Sports,Nova Supply Co.,41,7,1,0,47,14,470.0,Healthy
2025-01-31,SKU-1061,Running Belt,Sports,Aster Distribution,24,35,18,0,0,14,0.0,Stockout
2025-01-31,SKU-1062,Running Belt,Sports,Nova Supply Co.,81,13,1,0,5,19,50.0,Low Stock
2025-01-31,SKU-1063,Dumbbell Set,Sports,Urban Source Ltd.,43,2,1,0,44,28,440.0,Healthy
2025-01-31,SKU-1064,Dumbbell Set,Sports,Brightline Wholesale,119,19,5,3,130,33,780.0,Healthy
2025-01-31,SKU-1065,Dumbbell Set,Sports,Urban Source Ltd.,49,7,1,1,54,32,540.0,Healthy
2025-02-28,SKU-1001,Bluetooth Speaker,Electronics,Nova Supply Co.,48,2,5,0,45,21,270.0,Healthy
2025-02-28,SKU-1002,Bluetooth Speaker,Electronics,Nova Supply Co.,29,15,19,1,24,24,37.9,Healthy
2025-02-28,SKU-1003,Bluetooth Speaker,Electronics,Brightline Wholesale,55,11,6,2,91,23,455.0,Healthy
2025-02-28,SKU-1004,Wireless Earbuds,Electronics,Aster Distribution,73,3,2,0,74,16,740.0,Overstock
2025-02-28,SKU-1005,Wireless Earbuds,Electronics,Aster Distribution,52,14,5,0,61,24,366.0,Healthy
2025-02-28,SKU-1006,Wireless Earbuds,Electronics,Aster Distribution,77,12,3,2,84,32,840.0,Healthy
2025-02-28,SKU-1007,Power Bank,Electronics,Nova Supply Co.,39,9,1,1,46,15,460.0,Healthy
2025-02-28,SKU-1008,Power Bank,Electronics,Peak Imports,103,31,6,0,128,22,640.0,Overstock
2025-02-28,SKU-1009,Power Bank,Electronics,Nova Supply Co.,26,26,9,0,43,20,143.3,Healthy
2025-02-28,SKU-1010,USB-C Hub,Electronics,Peak Imports,47,25,16,0,56,29,105.0,Healthy
2025-02-28,SKU-1011,USB-C Hub,Electronics,Urban Source Ltd.,40,26,9,0,57,21,190.0,Healthy
2025-02-28,SKU-1012,USB-C Hub,Electronics,Nova Supply Co.,81,11,8,1,83,30,311.2,Healthy
2025-02-28,SKU-1013,Mechanical Keyboard,Electronics,Nova Supply Co.,52,2,0,0,54,19,540.0,Healthy
2025-02-28,SKU-1014,Mechanical Keyboard,Electronics,Nova Supply Co.,72,39,12,2,97,15,242.5,Overstock
2025-02-28,SKU-1015,Mechanical Keyboard,Electronics,Aster Distribution,118,1,1,0,118,29,1180.0,Overstock
2025-02-28,SKU-1016,Air Fryer,Home & Kitchen,Aster Distribution,107,17,4,1,119,32,892.5,Healthy
2025-02-28,SKU-1017,Air Fryer,Home & Kitchen,Peak Imports,59,10,3,0,66,31,660.0,Healthy
2025-02-28,SKU-1018,Air Fryer,Home & Kitchen,Peak Imports,93,28,8,1,112,29,420.0,Healthy
2025-02-28,SKU-1019,Electric Kettle,Home & Kitchen,Nova Supply Co.,91,41,11,1,120,24,327.3,Overstock
2025-02-28,SKU-1020,Electric Kettle,Home & Kitchen,Peak Imports,63,4,2,0,54,17,540.0,Healthy
2025-02-28,SKU-1021,Electric Kettle,Home & Kitchen,Aster Distribution,76,32,8,1,99,31,371.2,Healthy
2025-02-28,SKU-1022,Blender,Home & Kitchen,Peak Imports,97,27,7,1,116,25,497.1,Overstock
2025-02-28,SKU-1023,Blender,Home & Kitchen,Urban Source Ltd.,60,0,5,0,55,25,330.0,Healthy
2025-02-28,SKU-1024,Blender,Home & Kitchen,Aster Distribution,64,27,8,0,83,18,311.2,Overstock
2025-02-28,SKU-1025,Desk Lamp,Home & Kitchen,Urban Source Ltd.,56,1,3,1,110,30,1100.0,Healthy
2025-02-28,SKU-1026,Desk Lamp,Home & Kitchen,Peak Imports,38,5,6,1,36,21,180.0,Healthy
2025-02-28,SKU-1027,Desk Lamp,Home & Kitchen,Brightline Wholesale,48,16,5,0,59,34,354.0,Healthy
2025-02-28,SKU-1028,Storage Box,Home & Kitchen,Nova Supply Co.,40,15,2,0,53,19,530.0,Healthy
2025-02-28,SKU-1029,Storage Box,Home & Kitchen,Aster Distribution,29,20,3,0,0,29,0.0,Stockout
2025-02-28,SKU-1030,Storage Box,Home & Kitchen,Urban Source Ltd.,115,9,3,2,119,32,1190.0,Healthy
2025-02-28,SKU-1031,Notebook,Office,Brightline Wholesale,80,6,4,1,4,23,30.0,Low Stock
2025-02-28,SKU-1032,Notebook,Office,Brightline Wholesale,87,31,7,1,110,27,471.4,Overstock
2025-02-28,SKU-1033,Gel Pen Set,Office,Aster Distribution,37,12,1,0,48,19,480.0,Healthy
2025-02-28,SKU-1034,Gel Pen Set,Office,Aster Distribution,36,25,4,0,57,23,427.5,Healthy
2025-02-28,SKU-1035,Monitor Stand,Office,Brightline Wholesale,61,12,14,0,59,18,126.4,Healthy
2025-02-28,SKU-1036,Monitor Stand,Office,Nova Supply Co.,51,22,17,0,117,28,206.5,Overstock
2025-02-28,SKU-1037,Desk Organizer,Office,Nova Supply Co.,49,8,0,0,57,14,570.0,Overstock
2025-02-28,SKU-1038,Desk Organizer,Office,Urban Source Ltd.,89,11,8,1,91,30,341.2,Healthy
2025-02-28,SKU-1039,Office Chair,Office,Nova Supply Co.,32,13,0,1,44,12,440.0,Healthy
2025-02-28,SKU-1040,Office Chair,Office,Brightline Wholesale,24,5,1,0,93,19,930.0,Overstock
2025-02-28,SKU-1041,Face Cleanser,Beauty,Brightline Wholesale,68,9,2,0,75,26,750.0,Healthy
2025-02-28,SKU-1042,Face Cleanser,Beauty,Peak Imports,16,6,2,0,20,16,200.0,Healthy
2025-02-28,SKU-1043,Sunscreen,Beauty,Brightline Wholesale,111,5,2,1,113,27,1130.0,Overstock
2025-02-28,SKU-1044,Sunscreen,Beauty,Nova Supply Co.,72,7,1,0,78,18,780.0,Overstock
2025-02-28,SKU-1045,Moisturizer,Beauty,Urban Source Ltd.,89,7,0,1,95,26,950.0,Healthy
2025-02-28,SKU-1046,Moisturizer,Beauty,Peak Imports,85,8,7,2,84,21,360.0,Healthy
2025-02-28,SKU-1047,Hair Dryer,Beauty,Nova Supply Co.,64,12,1,1,74,18,740.0,Overstock
2025-02-28,SKU-1048,Hair Dryer,Beauty,Urban Source Ltd.,73,12,0,1,84,15,840.0,Overstock
2025-02-28,SKU-1049,Makeup Brush Set,Beauty,Nova Supply Co.,41,1,0,0,120,33,1200.0,Healthy
2025-02-28,SKU-1050,Makeup Brush Set,Beauty,Peak Imports,48,11,0,1,58,18,580.0,Healthy
2025-02-28,SKU-1051,Yoga Mat,Sports,Brightline Wholesale,75,0,2,1,72,24,720.0,Healthy
2025-02-28,SKU-1052,Yoga Mat,Sports,Peak Imports,132,20,1,1,150,27,1500.0,Overstock
2025-02-28,SKU-1053,Yoga Mat,Sports,Brightline Wholesale,103,7,12,0,98,28,245.0,Healthy
2025-02-28,SKU-1054,Resistance Bands,Sports,Peak Imports,97,13,0,2,113,26,1130.0,Overstock
2025-02-28,SKU-1055,Resistance Bands,Sports,Aster Distribution,52,5,0,0,57,15,570.0,Healthy
2025-02-28,SKU-1056,Resistance Bands,Sports,Nova Supply Co.,102,27,8,2,119,22,446.2,Overstock
2025-02-28,SKU-1057,Water Bottle,Sports,Nova Supply Co.,91,36,18,3,2,26,3.3,Low Stock
2025-02-28,SKU-1058,Water Bottle,Sports,Aster Distribution,114,21,1,1,133,34,1330.0,Healthy
2025-02-28,SKU-1059,Water Bottle,Sports,Brightline Wholesale,87,14,2,0,99,18,990.0,Overstock
2025-02-28,SKU-1060,Running Belt,Sports,Nova Supply Co.,16,15,6,0,49,14,245.0,Healthy
2025-02-28,SKU-1061,Running Belt,Sports,Aster Distribution,62,8,3,1,66,14,660.0,Overstock
2025-02-28,SKU-1062,Running Belt,Sports,Nova Supply Co.,90,3,1,1,91,19,910.0,Overstock
2025-02-28,SKU-1063,Dumbbell Set,Sports,Urban Source Ltd.,131,0,1,1,129,28,1290.0,Overstock
2025-02-28,SKU-1064,Dumbbell Set,Sports,Brightline Wholesale,55,26,7,1,73,33,312.9,Healthy
2025-02-28,SKU-1065,Dumbbell Set,Sports,Urban Source Ltd.,76,16,3,1,88,32,880.0,Healthy
2025-03-31,SKU-1001,Bluetooth Speaker,Electronics,Nova Supply Co.,67,13,2,1,77,21,770.0,Healthy
2025-03-31,SKU-1002,Bluetooth Speaker,Electronics,Nova Supply Co.,31,21,17,0,121,24,213.5,Overstock
2025-03-31,SKU-1003,Bluetooth Speaker,Electronics,Brightline Wholesale,40,22,4,0,58,23,435.0,Healthy
2025-03-31,SKU-1004,Wireless Earbuds,Electronics,Aster Distribution,65,8,6,0,1,16,5.0,Low Stock
2025-03-31,SKU-1005,Wireless Earbuds,Electronics,Aster Distribution,91,6,2,0,95,24,950.0,Healthy
2025-03-31,SKU-1006,Wireless Earbuds,Electronics,Aster Distribution,70,15,4,1,145,32,1087.5,Overstock
2025-03-31,SKU-1007,Power Bank,Electronics,Nova Supply Co.,44,29,7,0,66,15,282.9,Overstock
2025-03-31,SKU-1008,Power Bank,Electronics,Peak Imports,66,0,6,1,59,22,295.0,Healthy
2025-03-31,SKU-1009,Power Bank,Electronics,Nova Supply Co.,41,25,5,0,61,20,366.0,Healthy
2025-03-31,SKU-1010,USB-C Hub,Electronics,Peak Imports,50,32,21,0,61,29,87.1,Healthy
2025-03-31,SKU-1011,USB-C Hub,Electronics,Urban Source Ltd.,71,6,5,1,2,21,12.0,Low Stock
2025-03-31,SKU-1012,USB-C Hub,Electronics,Nova Supply Co.,149,31,11,1,168,30,458.2,Overstock
2025-03-31,SKU-1013,Mechanical Keyboard,Electronics,Nova Supply Co.,55,17,2,1,69,19,690.0,Healthy
2025-03-31,SKU-1014,Mechanical Keyboard,Electronics,Nova Supply Co.,71,16,7,1,47,15,201.4,Healthy
2025-03-31,SKU-1015,Mechanical Keyboard,Electronics,Aster Distribution,54,25,4,1,74,29,555.0,Healthy
2025-03-31,SKU-1016,Air Fryer,Home & Kitchen,Aster Distribution,101,33,7,2,125,32,535.7,Healthy
2025-03-31,SKU-1017,Air Fryer,Home & Kitchen,Peak Imports,40,0,5,0,35,31,210.0,Healthy
2025-03-31,SKU-1018,Air Fryer,Home & Kitchen,Peak Imports,33,25,10,0,48,29,144.0,Healthy
2025-03-31,SKU-1019,Electric Kettle,Home & Kitchen,Nova Supply Co.,67,27,8,0,148,24,555.0,Overstock
2025-03-31,SKU-1020,Electric Kettle,Home & Kitchen,Peak Imports,66,7,0,1,72,17,720.0,Overstock
2025-03-31,SKU-1021,Electric Kettle,Home & Kitchen,Aster Distribution,70,11,3,0,78,31,780.0,Healthy
2025-03-31,SKU-1022,Blender,Home & Kitchen,Peak Imports,86,25,6,1,104,25,520.0,Overstock
2025-03-31,SKU-1023,Blender,Home & Kitchen,Urban Source Ltd.,36,33,7,1,4,25,17.1,Low Stock
2025-03-31,SKU-1024,Blender,Home & Kitchen,Aster Distribution,76,33,12,0,97,18,242.5,Overstock
2025-03-31,SKU-1025,Desk Lamp,Home & Kitchen,Urban Source Ltd.,43,22,6,0,59,30,295.0,Healthy
2025-03-31,SKU-1026,Desk Lamp,Home & Kitchen,Peak Imports,42,2,7,1,36,21,154.3,Healthy
2025-03-31,SKU-1027,Desk Lamp,Home & Kitchen,Brightline Wholesale,49,5,4,3,47,34,352.5,Healthy
2025-03-31,SKU-1028,Storage Box,Home & Kitchen,Nova Supply Co.,90,7,5,2,90,19,540.0,Overstock
2025-03-31,SKU-1029,Storage Box,Home & Kitchen,Aster Distribution,61,27,5,1,82,29,492.0,Healthy
2025-03-31,SKU-1030,Storage Box,Home & Kitchen,Urban Source Ltd.,83,23,2,0,104,32,1040.0,Healthy
2025-03-31,SKU-1031,Notebook,Office,Brightline Wholesale,102,31,6,1,126,23,630.0,Overstock
2025-03-31,SKU-1032,Notebook,Office,Brightline Wholesale,82,0,0,0,82,27,820.0,Healthy
2025-03-31,SKU-1033,Gel Pen Set,Office,Aster Distribution,56,22,2,0,76,19,760.0,Healthy
2025-03-31,SKU-1034,Gel Pen Set,Office,Aster Distribution,91,15,2,2,102,23,1020.0,Overstock
2025-03-31,SKU-1035,Monitor Stand,Office,Brightline Wholesale,86,35,12,0,109,18,272.5,Overstock
2025-03-31,SKU-1036,Monitor Stand,Office,Nova Supply Co.,68,51,20,1,98,28,147.0,Healthy
2025-03-31,SKU-1037,Desk Organizer,Office,Nova Supply Co.,41,2,2,2,39,14,390.0,Healthy
2025-03-31,SKU-1038,Desk Organizer,Office,Urban Source Ltd.,130,20,6,1,143,30,715.0,Overstock
2025-03-31,SKU-1039,Office Chair,Office,Nova Supply Co.,18,23,4,0,49,12,367.5,Overstock
2025-03-31,SKU-1040,Office Chair,Office,Brightline Wholesale,56,14,2,0,68,19,680.0,Healthy
2025-03-31,SKU-1041,Face Cleanser,Beauty,Brightline Wholesale,59,12,3,1,67,26,670.0,Healthy
2025-03-31,SKU-1042,Face Cleanser,Beauty,Peak Imports,16,14,6,0,24,16,120.0,Healthy
2025-03-31,SKU-1043,Sunscreen,Beauty,Brightline Wholesale,73,13,2,0,150,27,1500.0,Overstock
2025-03-31,SKU-1044,Sunscreen,Beauty,Nova Supply Co.,41,27,7,0,61,18,261.4,Healthy
2025-03-31,SKU-1045,Moisturizer,Beauty,Urban Source Ltd.,59,0,4,1,54,26,405.0,Healthy
2025-03-31,SKU-1046,Moisturizer,Beauty,Peak Imports,76,18,5,2,87,21,522.0,Overstock
2025-03-31,SKU-1047,Hair Dryer,Beauty,Nova Supply Co.,48,8,1,0,55,18,550.0,Healthy
2025-03-31,SKU-1048,Hair Dryer,Beauty,Urban Source Ltd.,43,2,5,2,51,15,306.0,Healthy
2025-03-31,SKU-1049,Makeup Brush Set,Beauty,Nova Supply Co.,152,24,4,2,170,33,1275.0,Overstock
2025-03-31,SKU-1050,Makeup Brush Set,Beauty,Peak Imports,70,0,6,1,63,18,315.0,Healthy
2025-03-31,SKU-1051,Yoga Mat,Sports,Brightline Wholesale,48,16,2,0,62,24,620.0,Healthy
2025-03-31,SKU-1052,Yoga Mat,Sports,Peak Imports,28,5,4,1,28,27,210.0,Healthy
2025-03-31,SKU-1053,Yoga Mat,Sports,Brightline Wholesale,91,17,16,0,92,28,172.5,Healthy
2025-03-31,SKU-1054,Resistance Bands,Sports,Peak Imports,70,4,1,1,72,26,720.0,Healthy
2025-03-31,SKU-1055,Resistance Bands,Sports,Aster Distribution,31,19,5,0,45,15,270.0,Healthy
2025-03-31,SKU-1056,Resistance Bands,Sports,Nova Supply Co.,76,26,16,1,115,22,215.6,Overstock
2025-03-31,SKU-1057,Water Bottle,Sports,Nova Supply Co.,33,39,19,0,53,26,83.7,Healthy
2025-03-31,SKU-1058,Water Bottle,Sports,Aster Distribution,157,11,3,2,163,34,1630.0,Overstock
2025-03-31,SKU-1059,Water Bottle,Sports,Brightline Wholesale,19,26,5,0,125,18,750.0,Overstock
2025-03-31,SKU-1060,Running Belt,Sports,Nova Supply Co.,25,11,7,0,29,14,124.3,Healthy
2025-03-31,SKU-1061,Running Belt,Sports,Aster Distribution,18,12,11,0,2,14,5.5,Low Stock
2025-03-31,SKU-1062,Running Belt,Sports,Nova Supply Co.,81,11,3,0,89,19,890.0,Overstock
2025-03-31,SKU-1063,Dumbbell Set,Sports,Urban Source Ltd.,71,15,3,0,83,28,830.0,Healthy
2025-03-31,SKU-1064,Dumbbell Set,Sports,Brightline Wholesale,156,10,6,2,158,33,790.0,Overstock
2025-03-31,SKU-1065,Dumbbell Set,Sports,Urban Source Ltd.,148,10,4,1,153,32,1147.5,Overstock
2025-04-30,SKU-1001,Bluetooth Speaker,Electronics,Nova Supply Co.,94,28,5,2,115,21,690.0,Overstock
2025-04-30,SKU-1002,Bluetooth Speaker,Electronics,Nova Supply Co.,102,37,15,0,124,24,248.0,Overstock
2025-04-30,SKU-1003,Bluetooth Speaker,Electronics,Brightline Wholesale,41,5,2,0,148,23,1480.0,Overstock
2025-04-30,SKU-1004,Wireless Earbuds,Electronics,Aster Distribution,60,7,1,1,65,16,650.0,Overstock
2025-04-30,SKU-1005,Wireless Earbuds,Electronics,Aster Distribution,119,10,9,3,117,24,390.0,Overstock
2025-04-30,SKU-1006,Wireless Earbuds,Electronics,Aster Distribution,114,7,5,2,114,32,684.0,Healthy
2025-04-30,SKU-1007,Power Bank,Electronics,Nova Supply Co.,74,9,3,2,78,15,780.0,Overstock
2025-04-30,SKU-1008,Power Bank,Electronics,Peak Imports,95,12,1,0,106,22,1060.0,Overstock
2025-04-30,SKU-1009,Power Bank,Electronics,Nova Supply Co.,88,5,13,1,79,20,182.3,Healthy
2025-04-30,SKU-1010,USB-C Hub,Electronics,Peak Imports,37,13,20,0,30,29,45.0,Healthy
2025-04-30,SKU-1011,USB-C Hub,Electronics,Urban Source Ltd.,43,7,5,0,45,21,270.0,Healthy
2025-04-30,SKU-1012,USB-C Hub,Electronics,Nova Supply Co.,69,14,10,1,72,30,216.0,Healthy
2025-04-30,SKU-1013,Mechanical Keyboard,Electronics,Nova Supply Co.,52,20,1,0,71,19,710.0,Healthy
2025-04-30,SKU-1014,Mechanical Keyboard,Electronics,Nova Supply Co.,72,27,6,1,92,15,460.0,Overstock
2025-04-30,SKU-1015,Mechanical Keyboard,Electronics,Aster Distribution,78,10,2,1,85,29,850.0,Healthy
2025-04-30,SKU-1016,Air Fryer,Home & Kitchen,Aster Distribution,79,3,0,0,202,32,2020.0,Overstock
2025-04-30,SKU-1017,Air Fryer,Home & Kitchen,Peak Imports,100,1,3,1,97,31,970.0,Healthy
2025-04-30,SKU-1018,Air Fryer,Home & Kitchen,Peak Imports,44,21,6,0,7,29,35.0,Low Stock
2025-04-30,SKU-1019,Electric Kettle,Home & Kitchen,Nova Supply Co.,57,22,7,0,72,24,308.6,Healthy
2025-04-30,SKU-1020,Electric Kettle,Home & Kitchen,Peak Imports,21,1,3,0,19,17,190.0,Healthy
2025-04-30,SKU-1021,Electric Kettle,Home & Kitchen,Aster Distribution,137,20,5,1,151,31,906.0,Overstock
2025-04-30,SKU-1022,Blender,Home & Kitchen,Peak Imports,25,13,0,0,172,25,1720.0,Overstock
2025-04-30,SKU-1023,Blender,Home & Kitchen,Urban Source Ltd.,73,30,6,0,97,25,485.0,Healthy
2025-04-30,SKU-1024,Blender,Home & Kitchen,Aster Distribution,56,18,11,2,61,18,166.4,Healthy
2025-04-30,SKU-1025,Desk Lamp,Home & Kitchen,Urban Source Ltd.,38,9,6,0,41,30,205.0,Healthy
2025-04-30,SKU-1026,Desk Lamp,Home & Kitchen,Peak Imports,80,4,5,1,78,21,468.0,Healthy
2025-04-30,SKU-1027,Desk Lamp,Home & Kitchen,Brightline Wholesale,124,25,5,1,143,34,858.0,Overstock
2025-04-30,SKU-1028,Storage Box,Home & Kitchen,Nova Supply Co.,42,0,5,0,37,19,222.0,Healthy
2025-04-30,SKU-1029,Storage Box,Home & Kitchen,Aster Distribution,127,33,8,2,150,29,562.5,Overstock
2025-04-30,SKU-1030,Storage Box,Home & Kitchen,Urban Source Ltd.,90,0,0,0,90,32,900.0,Healthy
2025-04-30,SKU-1031,Notebook,Office,Brightline Wholesale,102,21,2,0,121,23,1210.0,Overstock
2025-04-30,SKU-1032,Notebook,Office,Brightline Wholesale,75,0,5,2,68,27,408.0,Healthy
2025-04-30,SKU-1033,Gel Pen Set,Office,Aster Distribution,67,13,6,1,73,19,365.0,Healthy
2025-04-30,SKU-1034,Gel Pen Set,Office,Aster Distribution,48,5,5,2,46,23,276.0,Healthy
2025-04-30,SKU-1035,Monitor Stand,Office,Brightline Wholesale,86,27,25,4,84,18,100.8,Overstock
2025-04-30,SKU-1036,Monitor Stand,Office,Nova Supply Co.,138,7,12,0,133,28,332.5,Overstock
2025-04-30,SKU-1037,Desk Organizer,Office,Nova Supply Co.,53,5,3,0,55,14,550.0,Healthy
2025-04-30,SKU-1038,Desk Organizer,Office,Urban Source Ltd.,101,10,1,2,108,30,1080.0,Healthy
2025-04-30,SKU-1039,Office Chair,Office,Nova Supply Co.,27,13,0,1,39,12,390.0,Healthy
2025-04-30,SKU-1040,Office Chair,Office,Brightline Wholesale,52,16,3,0,85,19,850.0,Overstock
2025-04-30,SKU-1041,Face Cleanser,Beauty,Brightline Wholesale,89,13,3,2,97,26,970.0,Healthy
2025-04-30,SKU-1042,Face Cleanser,Beauty,Peak Imports,32,23,10,0,2,16,6.0,Low Stock
2025-04-30,SKU-1043,Sunscreen,Beauty,Brightline Wholesale,50,20,1,1,68,27,680.0,Healthy
2025-04-30,SKU-1044,Sunscreen,Beauty,Nova Supply Co.,20,4,0,1,23,18,230.0,Healthy
2025-04-30,SKU-1045,Moisturizer,Beauty,Urban Source Ltd.,75,7,0,0,2,26,20.0,Low Stock
