order_id,order_date,product_id,product_name,variant,category,supplier,sales_channel,region,payment_method,quantity,unit_price,discount_pct,gross_sales,net_sales,cost,profit,month,week,margin_pct
ORD-500057,2025-07-03,SKU-1053,Yoga Mat,Pro,Sports,Brightline Wholesale,Marketplace,Semarang,Card,1,30.37,0.1,30.37,27.33,19.3,8.03,2025-07,2025-06-30/2025-07-06,0.2938163190633004
ORD-500058,2025-12-16,SKU-1024,Blender,Pro,Home & Kitchen,Aster Distribution,Online,Yogyakarta,E-Wallet,2,59.17,0.0,118.34,118.34,89.92,28.42,2025-12,2025-12-15/2025-12-21,0.24015548419807337
ORD-500059,2025-10-04,SKU-1009,Power Bank,Pro,Electronics,Nova Supply Co.,Marketplace,Makassar,Card,2,120.75,0.2,241.5,193.2,184.86,8.34,2025-10,2025-09-29/2025-10-05,0.04316770186335404
ORD-500060,2025-07-11,SKU-1056,Resistance Bands,Pro,Sports,Nova Supply Co.,Marketplace,Surabaya,Bank Transfer,4,37.19,0.0,148.76,148.76,87.44,61.32,2025-07,2025-07-07/2025-07-13,0.4122075826835171
ORD-500061,2025-07-03,SKU-1005,Wireless Earbuds,Premium,Electronics,Aster Distribution,Online,Yogyakarta,Card,2,102.99,0.05,205.98,195.68,121.46,74.22,2025-07,2025-06-30/2025-07-06,0.3792927228127555
ORD-500062,2025-06-13,SKU-1009,Power Bank,Pro,Electronics,Nova Supply Co.,Online,Medan,Bank Transfer,1,120.75,0.15,120.75,102.64,92.43,10.21,2025-06,2025-06-09/2025-06-15,0.0994738893219018
ORD-500063,2025-12-10,SKU-1017,Air Fryer,Premium,Home & Kitchen,Peak Imports,Online,Jakarta,Bank Transfer,1,85.71,0.05,85.71,81.42,66.93,14.49,2025-12,2025-12-08/2025-12-14,0.17796610169491525
ORD-500064,2025-01-17,SKU-1012,USB-C Hub,Pro,Electronics,Nova Supply Co.,Online,Medan,E-Wallet,2,66.9,0.05,133.8,127.11,92.12,34.99,2025-01,2025-01-13/2025-01-19,0.2752733852568641
ORD-500065,2025-07-23,SKU-1053,Yoga Mat,Pro,Sports,Brightline Wholesale,Online,Medan,E-Wallet,1,30.37,0.0,30.37,30.37,19.3,11.07,2025-07,2025-07-21/2025-07-27,0.3645044451761607
ORD-500066,2025-08-25,SKU-1020,Electric Kettle,Premium,Home & Kitchen,Peak Imports,Retail Store,Jakarta,Bank Transfer,2,73.42,0.05,146.84,139.5,114.66,24.84,2025-08,2025-08-25/2025-08-31,0.17806451612903226
ORD-500067,2025-07-13,SKU-1030,Storage Box,Pro,Home & Kitchen,Urban Source Ltd.,Online,Bandung,Bank Transfer,3,61.88,0.05,185.64,176.36,143.85,32.51,2025-07,2025-07-07/2025-07-13,0.18433885234747105
ORD-500068,2025-10-08,SKU-1020,Electric Kettle,Premium,Home & Kitchen,Peak Imports,Online,Bandung,Bank Transfer,1,73.42,0.05,73.42,69.75,57.33,12.42,2025-10,2025-10-06/2025-10-12,0.17806451612903226
ORD-500069,2025-07-08,SKU-1060,Running Belt,Standard,Sports,Nova Supply Co.,Online,Surabaya,Cash,1,84.42,0.0,84.42,84.42,48.15,36.27,2025-07,2025-07-07/2025-07-13,0.42963752665245203
ORD-500070,2025-02-08,SKU-1010,USB-C Hub,Standard,Electronics,Peak Imports,Wholesale,Jakarta,Card,1,23.78,0.15,23.78,20.21,18.47,1.74,2025-02,2025-02-03/2025-02-09,0.08609599208312715
ORD-500071,2025-09-10,SKU-1035,Monitor Stand,Standard,Office,Brightline Wholesale,Online,Yogyakarta,Bank Transfer,1,61.43,0.0,61.43,61.43,33.7,27.73,2025-09,2025-09-08/2025-09-14,0.45140810678821425
ORD-500072,2025-06-13,SKU-1037,Desk Organizer,Standard,Office,Nova Supply Co.,Retail Store,Bandung,Card,4,24.82,0.05,99.28,94.32,56.32,38.0,2025-06,2025-06-09/2025-06-15,0.40288379983036476
ORD-500073,2025-11-17,SKU-1059,Water Bottle,Pro,Sports,Brightline Wholesale,Retail Store,Semarang,E-Wallet,2,21.51,0.1,43.02,38.72,34.74,3.98,2025-11,2025-11-17/2025-11-23,0.10278925619834711
ORD-500074,2025-06-24,SKU-1007,Power Bank,Standard,Electronics,Nova Supply Co.,Wholesale,Semarang,Card,2,127.25,0.05,254.5,241.77,163.68,78.09,2025-06,2025-06-23/2025-06-29,0.3229929271621789
ORD-500075,2025-08-26,SKU-1064,Dumbbell Set,Premium,Sports,Brightline Wholesale,Retail Store,Bandung,E-Wallet,4,28.95,0.0,115.8,115.8,64.6,51.2,2025-08,2025-08-25/2025-08-31,0.4421416234887738
ORD-500076,2025-07-21,SKU-1050,Makeup Brush Set,Premium,Beauty,Peak Imports,Retail Store,Jakarta,Card,1,37.2,0.0,37.2,37.2,25.93,11.27,2025-07,2025-07-21/2025-07-27,0.3029569892473118
ORD-500077,2025-04-19,SKU-1029,Storage Box,Premium,Home & Kitchen,Aster Distribution,Online,Medan,Card,4,14.45,0.05,57.8,54.91,45.92,8.99,2025-04,2025-04-14/2025-04-20,0.16372245492624296
ORD-500078,2025-01-15,SKU-1025,Desk Lamp,Standard,Home & Kitchen,Urban Source Ltd.,Marketplace,Semarang,Card,2,104.17,0.0,208.34,208.34,157.2,51.14,2025-01,2025-01-13/2025-01-19,0.2454641451473553
ORD-500079,2025-03-23,SKU-1061,Running Belt,Premium,Sports,Aster Distribution,Marketplace,Jakarta,E-Wallet,2,76.7,0.0,153.4,153.4,87.42,65.98,2025-03,2025-03-17/2025-03-23,0.4301173402868318
ORD-500080,2025-07-22,SKU-1002,Bluetooth Speaker,Premium,Electronics,Nova Supply Co.,Retail Store,Yogyakarta,Card,1,110.05,0.1,110.05,99.04,87.34,11.7,2025-07,2025-07-21/2025-07-27,0.11813408723747978
ORD-500081,2025-10-06,SKU-1057,Water Bottle,Standard,Sports,Nova Supply Co.,Online,Bandung,Card,2,33.1,0.1,66.2,59.58,36.62,22.96,2025-10,2025-10-06/2025-10-12,0.38536421617992617
ORD-500082,2025-09-18,SKU-1012,USB-C Hub,Pro,Electronics,Nova Supply Co.,Retail Store,Medan,Card,1,66.9,0.15,66.9,56.86,46.06,10.8,2025-09,2025-09-15/2025-09-21,0.18994020400984876
ORD-500083,2025-06-11,SKU-1042,Face Cleanser,Premium,Beauty,Peak Imports,Retail Store,Medan,E-Wallet,1,31.12,0.0,31.12,31.12,25.16,5.96,2025-06,2025-06-09/2025-06-15,0.19151670951156813
ORD-500084,2025-01-02,SKU-1041,Face Cleanser,Standard,Beauty,Brightline Wholesale,Online,Jakarta,Bank Transfer,1,40.88,0.15,40.88,34.75,26.08,8.67,2025-01,2024-12-30/2025-01-05,0.24949640287769784
ORD-500085,2025-07-11,SKU-1017,Air Fryer,Premium,Home & Kitchen,Peak Imports,Retail Store,Medan,Bank Transfer,1,85.71,0.0,85.71,85.71,66.93,18.78,2025-07,2025-07-07/2025-07-13,0.21911095554777743
ORD-500086,2025-05-08,SKU-1057,Water Bottle,Standard,Sports,Nova Supply Co.,Marketplace,Jakarta,Card,1,33.1,0.0,33.1,33.1,18.31,14.79,2025-05,2025-05-05/2025-05-11,0.4468277945619335
ORD-500087,2025-09-04,SKU-1055,Resistance Bands,Premium,Sports,Aster Distribution,Online,Yogyakarta,Bank Transfer,4,26.5,0.0,106.0,106.0,85.8,20.2,2025-09,2025-09-01/2025-09-07,0.19056603773584904
ORD-500088,2025-05-05,SKU-1008,Power Bank,Premium,Electronics,Peak Imports,Retail Store,Yogyakarta,Card,1,64.8,0.2,64.8,51.84,35.52,16.32,2025-05,2025-05-05/2025-05-11,0.3148148148148148
ORD-500089,2025-11-09,SKU-1024,Blender,Pro,Home & Kitchen,Aster Distribution,Online,Jakarta,Bank Transfer,3,59.17,0.0,177.51,177.51,134.88,42.63,2025-11,2025-11-03/2025-11-09,0.24015548419807337
ORD-500090,2025-09-13,SKU-1004,Wireless Earbuds,Standard,Electronics,Aster Distribution,Retail Store,Bandung,E-Wallet,1,77.45,0.0,77.45,77.45,55.47,21.98,2025-09,2025-09-08/2025-09-14,0.28379599741768885
ORD-500091,2025-04-21,SKU-1020,Electric Kettle,Premium,Home & Kitchen,Peak Imports,Online,Yogyakarta,Bank Transfer,1,73.42,0.2,73.42,58.74,57.33,1.41,2025-04,2025-04-21/2025-04-27,0.024004085801838607
ORD-500092,2025-06-15,SKU-1034,Gel Pen Set,Premium,Office,Aster Distribution,Wholesale,Yogyakarta,Bank Transfer,1,211.77,0.15,211.77,180.0,119.78,60.22,2025-06,2025-06-09/2025-06-15,0.33455555555555555
ORD-500093,2025-05-22,SKU-1059,Water Bottle,Pro,Sports,Brightline Wholesale,Online,Makassar,E-Wallet,1,21.51,0.1,21.51,19.36,17.37,1.99,2025-05,2025-05-19/2025-05-25,0.10278925619834711
ORD-500094,2025-03-27,SKU-1039,Office Chair,Standard,Office,Nova Supply Co.,Retail Store,Makassar,Bank Transfer,1,42.18,0.0,42.18,42.18,24.47,17.71,2025-03,2025-03-24/2025-03-30,0.41986723565670936
ORD-500095,2025-04-20,SKU-1057,Water Bottle,Standard,Sports,Nova Supply Co.,Retail Store,Jakarta,Bank Transfer,1,33.1,0.05,33.1,31.44,18.31,13.13,2025-04,2025-04-14/2025-04-20,0.4176208651399491
ORD-500096,2025-04-28,SKU-1053,Yoga Mat,Pro,Sports,Brightline Wholesale,Online,Yogyakarta,Bank Transfer,1,30.37,0.05,30.37,28.85,19.3,9.55,2025-04,2025-04-28/2025-05-04,0.3310225303292894
ORD-500097,2025-12-13,SKU-1056,Resistance Bands,Pro,Sports,Nova Supply Co.,Online,Yogyakarta,E-Wallet,3,37.19,0.0,111.57,111.57,65.58,45.99,2025-12,2025-12-08/2025-12-14,0.4122075826835171
ORD-500098,2025-12-30,SKU-1006,Wireless Earbuds,Pro,Electronics,Aster Distribution,Online,Makassar,Card,1,48.0,0.05,48.0,45.6,31.91,13.69,2025-12,2025-12-29/2026-01-04,0.300219298245614
ORD-500099,2025-12-08,SKU-1063,Dumbbell Set,Standard,Sports,Urban Source Ltd.,Online,Jakarta,E-Wallet,2,37.4,0.0,74.8,74.8,59.36,15.44,2025-12,2025-12-08/2025-12-14,0.20641711229946524
ORD-500100,2025-06-08,SKU-1026,Desk Lamp,Premium,Home & Kitchen,Peak Imports,Retail Store,Yogyakarta,Card,1,42.39,0.0,42.39,42.39,31.28,11.11,2025-06,2025-06-02/2025-06-08,0.2620901155933003
ORD-500101,2025-01-18,SKU-1024,Blender,Pro,Home & Kitchen,Aster Distribution,Marketplace,Bandung,Cash,1,59.17,0.1,59.17,53.25,44.96,8.29,2025-01,2025-01-13/2025-01-19,0.15568075117370891
ORD-500102,2025-01-19,SKU-1018,Air Fryer,Pro,Home & Kitchen,Peak Imports,Marketplace,Yogyakarta,Card,1,12.8,0.0,12.8,12.8,7.68,5.12,2025-01,2025-01-13/2025-01-19,0.39999999999999997
ORD-500103,2025-02-25,SKU-1057,Water Bottle,Standard,Sports,Nova Supply Co.,Wholesale,Jakarta,Cash,1,33.1,0.05,33.1,31.44,18.31,13.13,2025-02,2025-02-24/2025-03-02,0.4176208651399491
ORD-500104,2025-01-01,SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,Online,Jakarta,E-Wallet,1,88.16,0.1,88.16,79.34,53.02,26.32,2025-01,2024-12-30/2025-01-05,0.3317368288379128
ORD-500105,2025-06-20,SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,Marketplace,Bandung,E-Wallet,1,88.16,0.05,88.16,83.75,53.02,30.73,2025-06,2025-06-16/2025-06-22,0.3669253731343284
ORD-500106,2025-11-04,SKU-1012,USB-C Hub,Pro,Electronics,Nova Supply Co.,Marketplace,Bandung,E-Wallet,1,66.9,0.0,66.9,66.9,46.06,20.84,2025-11,2025-11-03/2025-11-09,0.3115097159940209
ORD-500107,2025-06-30,SKU-1009,Power Bank,Pro,Electronics,Nova Supply Co.,Online,Semarang,Card,1,120.75,0.0,120.75,120.75,92.43,28.32,2025-06,2025-06-30/2025-07-06,0.23453416149068324
ORD-500108,2025-06-18,SKU-1001,Bluetooth Speaker,Standard,Electronics,Nova Supply Co.,Retail Store,Surabaya,Bank Transfer,1,120.16,0.0,120.16,120.16,83.77,36.39,2025-06,2025-06-16/2025-06-22,0.3028462050599201
ORD-500109,2025-02-26,SKU-1012,USB-C Hub,Pro,Electronics,Nova Supply Co.,Retail Store,Semarang,E-Wallet,1,66.9,0.05,66.9,63.56,46.06,17.5,2025-02,2025-02-24/2025-03-02,0.2753303964757709
ORD-500110,2025-02-10,SKU-1001,Bluetooth Speaker,Standard,Electronics,Nova Supply Co.,Online,Semarang,E-Wallet,2,120.16,0.05,240.32,228.3,167.54,60.76,2025-02,2025-02-10/2025-02-16,0.26614104248795445
ORD-500111,2025-06-17,SKU-1057,Water Bottle,Standard,Sports,Nova Supply Co.,Online,Yogyakarta,Bank Transfer,1,33.1,0.15,33.1,28.14,18.31,9.83,2025-06,2025-06-16/2025-06-22,0.34932480454868514
ORD-500112,2025-03-01,SKU-1036,Monitor Stand,Premium,Office,Nova Supply Co.,Online,Bandung,E-Wallet,4,158.85,0.0,635.4,635.4,441.08,194.32,2025-03,2025-02-24/2025-03-02,0.3058231035568146
ORD-500113,2025-09-25,SKU-1054,Resistance Bands,Standard,Sports,Peak Imports,Online,Bandung,Card,1,67.42,0.0,67.42,67.42,53.25,14.17,2025-09,2025-09-22/2025-09-28,0.21017502224859091
ORD-500114,2025-10-24,SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,Online,Yogyakarta,Bank Transfer,1,88.16,0.0,88.16,88.16,53.02,35.14,2025-10,2025-10-20/2025-10-26,0.3985934664246824
ORD-500115,2025-09-26,SKU-1009,Power Bank,Pro,Electronics,Nova Supply Co.,Retail Store,Medan,Card,2,120.75,0.1,241.5,217.35,184.86,32.49,2025-09,2025-09-22/2025-09-28,0.1494824016563147
ORD-500116,2025-05-07,SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,Marketplace,Jakarta,Card,2,88.16,0.05,176.32,167.5,106.04,61.46,2025-05,2025-05-05/2025-05-11,0.3669253731343284
ORD-500117,2025-03-28,SKU-1042,Face Cleanser,Premium,Beauty,Peak Imports,Online,Medan,E-Wallet,1,31.12,0.05,31.12,29.56,25.16,4.4,2025-03,2025-03-24/2025-03-30,0.14884979702300408
ORD-500118,2025-02-15,SKU-1001,Bluetooth Speaker,Standard,Electronics,Nova Supply Co.,Marketplace,Surabaya,Card,1,120.16,0.2,120.16,96.13,83.77,12.36,2025-02,2025-02-10/2025-02-16,0.12857588681993135
